class_name,num_methods,num_fields,loc
Audit_details,5,10,281
Choice,8,27,408
ChoicesData,1,11,69
CounsellingResult,9,13,338
db,1,1,33
DbUtils,0,0,14
Emp,0,1,17
Login,6,16,290
MainMenu,6,11,232
Result,2,1,95
StudentData,1,11,76
StudentInformation,16,51,903
StudentInformationSystem,1,0,21
users,8,19,471
bank,1,0,99
bankManagement,4,3,229
connection,1,1,29
Bank,3,1,83
Account,4,3,83
BankingSystem,1,0,83
BudgetTracker,4,1,56
Info,11,10,379
Ehospital,1,0,379
Info,11,10,379
Ehospital,1,0,379
AccountantBean,12,2,68
StudentBean,20,4,101
AccountantDao,6,0,114
DB,1,0,12
StudentDao,7,0,147
AccountantLogin,2,0,57
AddAccountant,1,0,54
AddAccountantForm,1,0,49
AddStudent,1,0,56
AddStudentForm,1,0,47
AdminLogin,2,0,51
DeleteAccountant,1,0,20
DeleteStudent,1,0,19
DueFee,1,0,52
EditAccountant,1,0,36
EditAccountantForm,1,1,59
EditStudent,1,0,38
EditStudentForm,1,0,58
LogoutAccountant,1,0,41
LogoutAdmin,1,0,42
SearchStudent,1,0,56
SearchStudentForm,1,0,36
ViewAccountant,1,0,49
ViewStudent,1,0,48
AccountantBean,12,2,68
StudentBean,20,4,101
AccountantDao,6,0,112
DB,1,0,12
StudentDao,7,0,147
AccountantLogin,2,0,57
AddAccountant,1,0,54
AddAccountantForm,1,0,49
AddStudent,1,0,56
AddStudentForm,1,0,47
AdminLogin,2,0,51
DeleteAccountant,1,0,20
DeleteStudent,1,0,19
DueFee,1,0,52
EditAccountant,1,0,36
EditAccountantForm,1,1,59
EditStudent,1,0,38
EditStudentForm,1,0,58
LogoutAccountant,1,0,41
LogoutAdmin,1,0,42
SearchStudent,1,0,56
SearchStudentForm,1,0,36
ViewAccountant,1,0,49
ViewStudent,1,0,48
as,2,1,47
srv1,2,1,48
Library,4,2,49
Project_3,1,0,49
AddBookMenu,2,0,70
AddMemberMenu,2,0,61
Book,12,6,80
LibFunctions,4,0,122
LibUtil,1,0,40
Member,6,3,53
UserMenu,2,0,64
Client,1,1,34
Item,6,3,45
OrderBean,7,0,153
Cart,9,1,171
Customer,15,5,200
Item,6,3,43
User,18,7,210
sample,9,10,109
againvote,1,1,18
DBUtilR,1,1,30
loginpage,3,3,71
registration,2,1,75
thankyou,1,1,17
vote,3,3,97
Controller,34,20,1923
Controller_GUI,36,14,672
Database,39,17,876
StaffComparator,1,0,876
MenuItemComparator,1,0,876
DatabaseException,1,1,12
Employee,2,1,31
Manager,2,1,34
MenuItem,11,12,98
Order,11,9,125
OrderDetail,6,5,56
RMS,1,0,12
RMS_GUI,1,0,12
Staff,21,12,203
UserInterface,32,4,531
UserInterface_GUI,14,44,2301
LoginPanel,4,6,2301
MenuListPanel,3,8,2301
MenuManagementPanel,4,5,2301
EditMenuItemPanel,6,10,2301
EmployeeListPanel,4,6,2301
EditEmployeePanel,6,10,2301
OrderListPanel,9,11,2301
OrderDetailPanel,8,25,2301
TotalSalesPanel,7,8,2301
PaymentPanel,2,4,2301
IntegerInputVerifier,1,3,2301
DoubleInputVerifier,1,3,2301
Achievements,9,4,40
Book,12,6,50
Conference,24,12,90
Education,21,10,83
Experience,21,10,86
ExpertActivities,14,6,82
Journal,24,12,149
Membership,13,6,87
Participation,18,8,130
Personal,37,18,180
Projects,15,7,76
References,11,5,57
GlobalConstants,0,9,24
DBConnect,22,6,590
Main,1,0,151
UserService,14,1,71
AchievementSessionConstant,0,4,10
BookSessionConstant,0,5,12
ConferenceSessionConstant,0,12,18
EducationSession,0,8,13
ExperienceSession,0,8,14
ExpertActivitySessionConstant,0,5,11
JournalSessionConstant,0,12,20
MembershipSessionConstant,0,5,10
ParticipationSessionConstant,0,7,12
PersonSession,0,17,23
ProjectSessionConstant,0,7,13
ReferencesSessionConstant,0,5,11
App,1,0,251
CsvFileHandler,3,1,93
InputValidator,9,0,137
Student,0,5,21
ConsoleUI,20,1,173
Passenger,10,5,60
ReservationApplication,7,2,142
TicketService,11,8,134
Main,1,0,46
Vehicle,5,4,34
VehicleManager,3,1,22
AccelerometerManager,6,9,223
BgService,6,3,216
ServiceHandler,1,0,216
GeocoderHandler,1,0,216
Display,3,1,73
GPSTracker,11,10,201
Instructions,2,0,25
MainActivity,5,0,39
Register,4,1,83
RGeocoder,1,1,80
Verify,6,0,96
